Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
"Zill, Dennis G.","Succeeding with Differential Equations, 8th ed.",2013,Cengage Learning ,1,,
"Marsden, Jerrold E.","Vector Calculus, 3rd ed.",1988,W. H. Freeman and Company ,1,,
"Brant, Shoko A.",Intermediate Algebra: A Functional Approach ,1996,HarperCollins ,1,,
"Ostebee, Arnold","Calculus from Graphical, Numerical, and Symbolic Points of View, V.2",1994,Saunders,2,,
"Fuller, Gordon ","Analytic Geometry, 7th ed.",1992,Addison-Wesley ,1,,
"Love, Clyde E.","Analytic Geometry, 5th ed.",1948,Macmillan ,1,,
"Larson, Ron",Trigonometry ,2013,Cengage Learning ,1,,
"Lial, Margaret L.","Trigonometry, 8th ed.",2006,Pearson Education ,3,,
"Lial, Margaret L.","Trigonometry, 9th ed.",2009,Pearson Education ,1,,
"Riddle, Douglas F.","Analytic Geometry, 6th ed.",2012,Cengage Learning ,2,,
"Mason, Donald K.","Elementary Statistics, 5th ed.",1992,Addison-Wesley ,1,,
"Anderson, David R.","Introduction to Statistics: Concepts and Applications, 2nd ed.",1991,West Publishing ,1,,
"Kinney, John J.",Statistics for Science and Engineering,2003,Pearson Education ,1,,
"Walpole, Ronald E.","Introduction to Statistics, 3rd ed.",2000,Pearson Education ,2,,
"Spiegel, Murray R.",Theory and Problems of Statistics ,1961,McGraw-Hill ,1,,
"Triola, Mario F.","Elementary Statistics, 6th ed.",1995,Addison-Wesley ,1,,
"Hewitt, Paul G.","Conceptual Physical Science, 2nd ed.",2000,Pearson Education ,1,,
"Marion, Jerry B.","Classical Dynamics of Particles & Systems, 3rd ed.",1988,Harcourt Brace ,1,,
"Serway, Raymond A.","College Physics, 3rd ed.",1992,Harcourt Brace ,1,,
"Webert, Robert L.","College Physics, 5th ed.",1977,McGraw-Hill ,3,,
"Young, Hugh D.","University Physics, 10th ed.",2002,Pearson Education ,1,,
"Young, Hugh D.","University Physics with Modern Physics Technology Update, V.2",2014,Pearson Education ,1,,
"Goswami, Amit",Quantum Mechanics,1992,Wm. C. Brown,1,,
"Gasiorowicz,Stephen ",Quantum Physics ,1974,John Wiley & Sons ,1,,
"Ohanian,Hans C.",Principles Of Quantum Mechanics ,1990,Prentice-Hall,1,,
"Andrews,Frank C.","Equilibrium Statistical Mechanics, 2nd ed",1963,John Wiley & Sons ,1,,
"Arfken,George ","Mathematical Methods For Physicists, 3rd ed",1985,Academic Press,1,,
"Beiser,Arthur","Concepts Of Modern Physics, 5th ed",1995,McGraw-Hall,3,,
"Williams, W.S.C.",Nuclear And Particle Physics ,1991,W.S.C. Williams ,1,,
"Brown, Lawrence S.",Chemistry For Engineering Students ,2007,Brooks/Cole,1,,
"Chang, Raymond ","Chemistry, 6th ed",1998,McGraw-Hall,1,,
Brown,"Chemistry: The Central Science,12th ed",2014,Pearson Education,1,,
"Keenan, Charles W.","General College Chemistry, 6th ed",1980,JMC Press ,3,,
"Petrucci, Ralph H.","General Chemistry:Principle And Modern Applications,8th ed",2002,Prentice-Hall,1,,
"Redmore,Fred H.",Fundamentals Of Chemistry,1997,Prentice-Hall,1,,
"Sackheim,George I.","Chemistry For The Health Sciences, 8th ed",1998,Prentice-Hall,1,,
"Stoker,Stephen H.",General Chemistry ,2012,Cengage Learning ,1,,
"Wilbraham, Anthony C.","Chemistry, 5th ed",2003,Pearson Education,1,,
"King,Brooks G.","College Chemistry, 17th ed",1997,Litton Educational Publishing,2,,
"Hargis, Larry G.",Analytical Chemistry: Principles and Techniques ,1988,Prentice-Hall ,1,,
"McMurry, John","Fundamentals of Organic Chemistry, 5th ed.",2003,Brooks/Cole,1,,
